DATETIME,정수장,덕소(정) 5단계 유입압력순시,덕소(정) 5단계 정수지수위순시1,덕소(정) 5단계 정수지수위순시2,덕소(정) 5단계 정수지유출압력순시,덕소(정) 6단계 정수지수위순시2,덕소(정) 6단계 정수지유출압력,덕소(정) 6단계 정수지유출유량순시,덕소(정) 유출유량 순시,덕소(정) 정수지수위#1,덕소(정)5.6단계정수유출유량합계,팔당 덕소(정) 5단계 유출 유량 적산차,팔당 덕소(정) 6단계 정수지 유출 적산차,pH(-),탁도(NTU),잔류염소(mg/L)
2016010101,덕소정수장,0.25,4.2692,4.1977,0.6456,4.3278,0.619,6244.5971,5471.7033,4.0943,11796.7031,55,64,7.3051,0.0463,0.7591
2016010102,덕소정수장,0.25,4.456,4.371,0.6676,4.533,0.641,5849.0842,5152.1062,4.0943,9906.5938,51,59,7.3,0.0453,0.7529
2016010103,덕소정수장,0.25,4.6685,4.5924,0.6841,4.7527,0.663,5672.7106,4892.9487,4.0925,11576.9238,49,58,7.2949,0.0454,0.7485
2016010104,덕소정수장,0.239,4.859,4.7886,0.706,4.9432,0.6777,5515.2015,4920.696,4.0504,10115.3848,49,56,7.3,0.0467,0.7435
2016010105,덕소정수장,0.239,4.826,4.751,0.7115,4.8993,0.685,5741.1172,5412.6373,4.0522,8549.4502,55,59,7.3051,0.0463,0.7416
2016010106,덕소정수장,0.239,4.8846,4.8158,0.706,4.9725,0.6923,4996.6117,4689.2857,4.0559,10538.4609,47,50,7.2949,0.0465,0.7387
2016010107,덕소정수장,0.2445,4.87,4.7991,0.7005,4.9542,0.685,5744.9633,5251.8315,4.0705,11714.2852,52,59,7.3,0.0462,0.7368
2016010108,덕소정수장,0.2445,4.8297,4.7531,0.706,4.9396,0.6777,5806.1355,5152.9304,4.1016,10038.4619,52,58,7.3051,0.0467,0.7336
2016010109,덕소정수장,0.2445,4.9982,4.9369,0.783,5.0934,0.685,5416.2088,4981.8682,4.076,9357.1426,50,56,7.3,0.0461,0.7336
2016010110,덕소정수장,0.239,5.1227,5.0517,0.783,5.2326,0.6996,5245.696,4764.2858,4.0522,11384.6152,47,53,7.3,0.0458,0.7356
2016010111,덕소정수장,0.239,5.0897,5.0225,0.783,5.1886,0.6996,5738.7363,5351.9231,4.0504,13236.2637,54,58,7.3103,0.0455,0.7365
2016010112,덕소정수장,0.239,4.8773,4.8116,0.739,4.9799,0.685,7178.5714,6698.0769,4.0522,13824.1758,67,73,7.3205,0.0455,0.7347
2016010113,덕소정수장,0.239,4.7015,4.6341,0.7225,4.8004,0.6703,6943.8645,6427.0147,4.0467,13714.2852,64,70,7.3154,0.045,0.7344
2016010114,덕소정수장,0.239,4.511,4.4754,0.7005,4.5879,0.6484,7090.293,6704.304,4.0485,13901.0996,65,70,7.3103,0.045,0.7387
2016010115,덕소정수장,0.239,4.2875,4.2646,0.6841,4.3791,0.641,7246.4286,6762.8205,4.0467,14461.5391,62.4839,76,7.3103,0.0452,0.7437
2016010116,덕소정수장,0.25,3.9945,3.9764,0.6511,4.0678,0.5897,7976.3736,7476.0073,4.0852,15868.1318,62.4839,80,7.3154,0.0451,0.7475
2016010117,덕소정수장,0.25,3.848,3.8345,0.6456,3.9432,0.5824,8245.8791,7492.8572,4.0833,14967.0332,75,84,7.3154,0.0448,0.7473
2016010118,덕소정수장,0.25,3.7637,3.7405,0.5907,3.837,0.5824,8071.0623,7346.0623,4.0852,14884.6152,73,82,7.3103,0.0445,0.7492
2016010119,덕소정수장,0.25,3.6905,3.6549,0.5852,3.7637,0.5678,7916.3004,7168.4982,4.0833,15071.4287,72,80,7.3154,0.0439,0.7529
2016010120,덕소정수장,0.25,3.6905,3.6674,0.5852,3.7198,0.5751,7076.3736,6717.1246,4.0907,13901.0996,67,72,7.3205,0.0444,0.7475
2016010121,덕소정수장,0.25,3.7381,3.7154,0.5962,3.8297,0.5751,6909.8901,6355.6776,4.0888,13620.8789,64,71,7.3205,0.0438,0.7403
2016010122,덕소정수장,0.25,3.8114,3.7906,0.6016,3.8956,0.5824,6766.5751,6008.6996,4.087,11247.2529,60,69,7.3154,0.044,0.7464
2016010123,덕소정수장,0.25,4.0275,4.0077,0.6291,4.1227,0.6044,5458.8828,4864.652,4.087,10604.3955,49,55,7.3103,0.0443,0.7498
2016010124,덕소정수장,0.239,4.2216,4.2019,0.6511,4.3352,0.6264,5631.8681,5035.2564,4.065,9802.1973,51,58,7.3154,0.0451,0.7509
2016010201,덕소정수장,0.239,4.3352,4.3272,0.6566,4.4487,0.641,5509.6154,5091.1172,4.0687,11137.3633,50,56,7.3103,0.045,0.7483
2016010202,덕소정수장,0.239,4.3498,4.3397,0.6621,4.4927,0.641,6061.9964,5560.7143,4.0668,11582.418,56,61,7.3103,0.0454,0.7444
2016010203,덕소정수장,0.2445,4.3571,4.3564,0.6566,4.5,0.641,6304.8534,5584.707,4.0687,11967.0332,56,64,7.3154,0.0454,0.7424
2016010204,덕소정수장,0.2445,4.3791,4.3836,0.6621,4.522,0.641,6091.7583,5526.1905,4.0668,12774.7246,55,62,7.3205,0.0452,0.738
