일자,강수량
20160101,0
20160102,0
20160103,0
20160104,0
20160105,0
20160106,0
20160107,0
20160108,0
20160109,0
20160110,0
20160111,0
20160112,0
20160113,2.7
20160114,0.8
20160115,0.2
20160116,0.2
20160117,0
20160118,0
20160119,0
20160120,0
20160121,0
20160122,0
20160123,0
20160124,0
20160125,0
20160126,0.7
20160127,0
20160128,0
20160129,0
20160130,0
20160131,0
20160201,0
20160202,0
20160203,0
20160204,0
20160205,0
20160206,0.3
20160207,0
20160208,0
20160209,0
20160210,0
20160211,0.2
20160212,27.4
20160213,14.3
20160214,0
20160215,0.1
20160216,0.5
20160217,0
20160218,0
20160219,0
20160220,0
20160221,0
20160222,0.1
20160223,0.3
20160224,0
20160225,0
20160226,1.1
20160227,5.3
20160228,3
20160229,0
20160301,0
20160302,0
20160303,0
20160304,3.6
20160305,51.2
20160306,0
20160307,0
20160308,0
20160309,0
20160310,0
20160311,0
20160312,0
20160313,0
20160314,0
20160315,0
20160316,0
20160317,0
20160318,0
20160319,0
20160320,0
20160321,0
20160322,0
20160323,0
20160324,0
20160325,0
20160326,0
20160327,0
20160328,0
20160329,0
20160330,0
20160331,0
20160401,0
20160402,0
20160403,0.3
20160404,0
20160405,0
20160406,4.2
20160407,7.9
20160408,0
20160409,0
20160410,0
20160411,0
20160412,0
20160413,3.8
20160414,0
20160415,0
20160416,29.6
20160417,17.7
20160418,3.2
20160419,0
20160420,0.4
20160421,12.1
20160422,0
20160423,0
20160424,0
20160425,0
20160426,0
20160427,0
20160428,0
20160429,0
20160430,0
20160501,0
20160502,21.3
20160503,38.1
20160504,0
20160505,3.1
20160506,1.1
20160507,0
20160508,0
20160509,0
20160510,16.2
20160511,0
20160512,0
20160513,0
20160514,0
20160515,39.8
20160516,2.7
20160517,0
20160518,0
20160519,0
20160520,0
20160521,0
20160522,0
20160523,0
20160524,34.1
20160525,0
20160526,0
20160527,0
20160528,0
20160529,0
20160530,0
20160531,0
20160601,0
20160602,0
20160603,0
20160604,0.2
20160605,0
20160606,0
20160607,0
20160608,0
20160609,0
20160610,0
20160611,1.1
20160612,0.4
20160613,0
20160614,0
20160615,27.6
20160616,0
20160617,0
20160618,0
20160619,0
20160620,0
20160621,0
20160622,0.8
20160623,0.7
20160624,6.4
20160625,0
20160626,0
20160627,0
20160628,0
20160629,0
20160630,0.2
20160701,104.2
20160702,2.5
20160703,0
20160704,43.7
20160705,37.2
20160706,0.8
20160707,0
20160708,0
20160709,0
20160710,0
20160711,0.2
20160712,5.5
20160713,0
20160714,0.2
20160715,1.6
20160716,49.2
20160717,3.4
20160718,0
20160719,0
20160720,0
20160721,0
20160722,0
20160723,0.1
20160724,0
20160725,0
20160726,0
20160727,0.3
20160728,4.9
20160729,57.5
20160730,6.4
20160731,0
20160801,0
20160802,0
20160803,0
20160804,0
20160805,0
20160806,0
20160807,0
20160808,0
20160809,0
20160810,0
20160811,0
20160812,0
20160813,0
20160814,0
20160815,0
20160816,0
20160817,0.3
20160818,0
20160819,0
20160820,0
20160821,0
20160822,0
20160823,0.3
20160824,0
20160825,0
20160826,17
20160827,0
20160828,0.3
20160829,0
20160830,0
20160831,55.1
20160901,0
20160902,0.8
20160903,0
20160904,0
20160905,0
20160906,0
20160907,0
20160908,29.1
20160909,0
20160910,0
20160911,0
20160912,0
20160913,0
20160914,0
20160915,0
20160916,0
20160917,26.6
20160918,0
20160919,0
20160920,0
20160921,0
20160922,0
20160923,0
20160924,0
20160925,0
20160926,0
20160927,11.3
20160928,0
20160929,0
20160930,0
20161001,0
20161002,16.7
20161003,3.3
20161004,0
20161005,3
20161006,0
20161007,18
20161008,20.5
20161009,0
20161010,0
20161011,0
20161012,0
20161013,0
20161014,0
20161015,0
20161016,2.1
20161017,0
20161018,0
20161019,0
20161020,0
20161021,0
20161022,0
20161023,3.5
20161024,0
20161025,30.7
20161026,0
20161027,0
20161028,1.3
20161029,0
20161030,0
20161031,0
20161101,0
20161102,0.7
20161103,0.4
20161104,0
20161105,0
20161106,0
20161107,2.9
20161108,0.3
20161109,0
20161110,0.3
20161111,3.1
20161112,0
20161113,0.8
20161114,3
20161115,0
20161116,0
20161117,0
20161118,1.3
20161119,0.1
20161120,0
20161121,0
20161122,0.6
20161123,0
20161124,0
20161125,0
20161126,1.9
20161127,0.5
20161128,0
20161129,0
20161130,1.5
20161201,0
20161202,0
20161203,0
20161204,0
20161205,0.5
20161206,0
20161207,0
20161208,3.8
20161209,1.1
20161210,0
20161211,0
20161212,0
20161213,0
20161214,0
20161215,0
20161216,0
20161217,0
20161218,0
20161219,1.5
20161220,0
20161221,32.6
20161222,21.5
20161223,1.1
20161224,0
20161225,0
20161226,0.1
20161227,0.2
20161228,0
20161229,1
20161230,0
20161231,0
