생활/공업 구분,발생일시,시설명,시설관리번호,시설주소,pH(-),탁도(NTU),잔류염소(mg/L),수지(정) 1계열정수지#1 수위,수지(정) 1계열정수지#2 수위,수지(정) 2계열정수지#1 수위,수지(정) 2계열정수지#2 수위,수지(정) 6단계 정수지 수위 #1,수지(정) 6단계 정수지 수위 #2,수지(정) 송수 압력,수도권 수지(정) 5단계 송수유량 적산차,수지(정) 송수 유량 순시
생활정수,2016010101,수지정수장,4146512316,경기도 용인시 상현동,7.4799,0.0546,0.8258,2.3563,2.2602,2.3106,2.1972,2.2723,2.2729,0.5277,222,21632.1333
생활정수,2016010102,수지정수장,4146512316,경기도 용인시 상현동,7.4815,0.0546,0.8281,2.5525,2.462,2.5055,2.4152,2.4233,2.4165,0.571,204,19695.6667
생활정수,2016010103,수지정수장,4146512316,경기도 용인시 상현동,7.4831,0.0542,0.8189,2.839,2.7355,2.7892,2.7,2.7015,2.6816,0.5822,161,15790.9333
생활정수,2016010104,수지정수장,4146512316,경기도 용인시 상현동,7.4812,0.0545,0.8103,3.2076,3.1021,3.1576,3.097,3.0464,3.0232,0.6316,142,13683.6
생활정수,2016010105,수지정수장,4146512316,경기도 용인시 상현동,7.4819,0.055,0.8029,3.4943,3.3868,3.4401,3.4004,3.3823,3.3454,0.6744,147,14283.3167
생활정수,2016010106,수지정수장,4146512316,경기도 용인시 상현동,7.4784,0.0551,0.7936,3.7187,3.5625,3.6795,3.6464,3.6428,3.6071,0.6952,132,12833.7333
생활정수,2016010107,수지정수장,4146512316,경기도 용인시 상현동,7.4788,0.0551,0.7887,3.9899,3.8651,3.9206,3.8941,3.8371,3.7846,0.7103,125,12326.6833
생활정수,2016010108,수지정수장,4146512316,경기도 용인시 상현동,7.4747,0.0551,0.781,4.1437,4.0152,4.0736,4.0524,4.0567,4.0026,0.7227,149,14590.2167
생활정수,2016010109,수지정수장,4146512316,경기도 용인시 상현동,7.472,0.055,0.783,4.1303,3.995,4.0571,4.027,4.0766,4.0262,0.6998,229,22478.55
생활정수,2016010110,수지정수장,4146512316,경기도 용인시 상현동,7.4681,0.0552,0.8069,4.0951,3.9468,4.0213,3.9789,4.0389,3.9892,0.6824,262,25644.25
생활정수,2016010111,수지정수장,4146512316,경기도 용인시 상현동,7.4641,0.0554,0.8445,3.9429,3.7249,3.8634,3.7984,3.9169,3.8826,0.6586,292,28584.2167
