생활/공업 구분,발생일시,시설명,시설관리번호,시설주소,pH(-),탁도(NTU),잔류염소(mg/L),시흥(정) 공업정수지 수위,시흥(정) 신설정수지 3지 수위순시,시흥(정) 원수 유입압력,과천 시흥(정) 4단계 공업유출 유량 적산차,과천 시흥(정) 4단계 생활유출 유량 적산차,시흥(정) 공업송출유량,시흥(정) 생활유출유량순시
생활정수,2016010101,시흥정수장,4127312314,경기도 안산시 선부2동,7.7933,0.0344,0.719,5.2993,2.5962,1.8498,1498,1400,1422.7667,1395.1167
생활정수,2016010102,시흥정수장,4127312314,경기도 안산시 선부2동,7.7939,0.0344,0.7175,5.2683,2.6774,1.9607,1402,1300,1360.7833,1282.3167
생활정수,2016010103,시흥정수장,4127312314,경기도 안산시 선부2동,7.7943,0.0344,0.7181,5.4313,2.7625,1.9999,1300,1400,1343.05,1394.65
생활정수,2016010104,시흥정수장,4127312314,경기도 안산시 선부2동,7.7939,0.0344,0.7158,5.7272,2.8993,1.8987,1400,1200,1356.1833,1123.65
생활정수,2016010105,시흥정수장,4127312314,경기도 안산시 선부2동,7.7936,0.0345,0.7127,5.8903,3.0583,1.949,1400,1098,1328.2,1048.4
생활정수,2016010106,시흥정수장,4127312314,경기도 안산시 선부2동,7.7946,0.0344,0.7118,5.9632,3.2099,1.8501,1402,1102,1393.0167,1128.25
생활정수,2016010107,시흥정수장,4127312314,경기도 안산시 선부2동,7.7963,0.0344,0.7095,6.0472,3.3319,1.8987,1498,1400,1492.4333,1314.6
생활정수,2016010108,시흥정수장,4127312314,경기도 안산시 선부2동,7.7968,0.0346,0.7071,6.1077,3.4355,1.8984,1600,1500,1572.3667,1510.85
생활정수,2016010109,시흥정수장,4127312314,경기도 안산시 선부2동,7.7979,0.035,0.7066,6.1938,3.4986,2.0997,1500,1900,1509.5167,1834.3333
생활정수,2016010110,시흥정수장,4127312314,경기도 안산시 선부2동,7.7979,0.035,0.7058,6.2722,3.5024,1.7,1500,1998,1456.4167,1964.8167
