생활/공업 구분,발생일시,시설명,시설관리번호,시설주소,pH(-),탁도(NTU),잔류염소(mg/L),와부(정) 3단계 원수유입압력 (kg/cm2),와부(정) 4단계 원수유입압력 (kg/cm2),와부(정) #3유출유량 적산차 (m3),와부(정) #3정수지유출유량 순시 (m3/h),와부(정) #4정수지유출유량 순시 (m3/h),와부(정) 3단계 정수지#3-1 (m),와부(정) 3단계 정수지#3-2 (m),와부(정) 4단계 여과지정수지수위A (m),와부(정) 4단계 여과지정수지수위B (m)
생활정수,2016010101,와부정수장,4136012312,경기도 남양주시 와부읍,7.4345,0.0362,0.7659,2.285,0,3100,3107.55,7.395,2.7235,2.8735,0.1365,0.101
생활정수,2016010102,와부정수장,4136012312,경기도 남양주시 와부읍,7.4384,0.0361,0.756,2.278,0,3230,3234.75,8.4583,2.6745,2.861,0.1365,0.1015
생활정수,2016010103,와부정수장,4136012312,경기도 남양주시 와부읍,7.4403,0.0363,0.7477,2.281,0,3120,3134.6167,8.004,2.735,2.936,0.1365,0.102
생활정수,2016010104,와부정수장,4136012312,경기도 남양주시 와부읍,7.4443,0.0365,0.7367,2.48,0,2700,2684.6667,9.135,2.848,3.0625,0.1355,0.103
생활정수,2016010105,와부정수장,4136012312,경기도 남양주시 와부읍,7.4453,0.0365,0.7255,1.955,0,2470,2490.7333,9.0963,2.6705,2.939,0.1355,0.104
생활정수,2016010106,와부정수장,4136012312,경기도 남양주시 와부읍,7.4457,0.0366,0.722,2.235,0,2840,2822.1667,9.7247,2.293,2.585,0.1375,0.1055
생활정수,2016010107,와부정수장,4136012312,경기도 남양주시 와부읍,7.4453,0.0364,0.7293,2.088,0,2420,2416.4667,8.8063,2.45,2.742,0.1375,0.107
생활정수,2016010108,와부정수장,4136012312,경기도 남양주시 와부읍,7.4463,0.0361,0.7232,2.486,0,2150,2144.9333,8.758,3.021,3.2485,0.1385,0.1065
생활정수,2016010109,와부정수장,4136012312,경기도 남양주시 와부읍,7.4496,0.0362,0.7169,2.406,0,2560,2574.5833,8.758,3.132,3.3475,0.139,0.1065
생활정수,2016010110,와부정수장,4136012312,경기도 남양주시 와부읍,7.4485,0.0365,0.7306,2.397,0,2630,2619.5667,9.077,2.9905,3.2265,0.139,0.1075
생활정수,2016010111,와부정수장,4136012312,경기도 남양주시 와부읍,7.4458,0.0366,0.7341,2.427,0,2910,2915.85,7.2597,2.743,3.006,0.139,0.1065
생활정수,2016010112,와부정수장,4136012312,경기도 남양주시 와부읍,7.4447,0.0365,0.736,2.182,0,3210,3209.8833,6.0127,2.51,2.7975,0.14,0.105
생활정수,2016010113,와부정수장,4136012312,경기도 남양주시 와부읍,7.4445,0.0364,0.7282,2.17,0,3010,2998.1833,4.6787,2.5515,2.8305,0.1385,0.103
생활정수,2016010114,와부정수장,4136012312,경기도 남양주시 와부읍,7.4451,0.0359,0.7217,2.256,0,2900,2899.5,4.9783,2.6375,2.908,0.139,0.101
생활정수,2016010115,와부정수장,4136012312,경기도 남양주시 와부읍,7.4444,0.0353,0.7315,2.254,0,2870,2856.3167,3.1223,2.742,2.9975,0.1365,0.101
생활정수,2016010116,와부정수장,4136012312,경기도 남양주시 와부읍,7.4417,0.0351,0.7335,2.216,0,3640,3665.6333,3.2577,2.618,2.854,0.1355,0.0995
생활정수,2016010117,와부정수장,4136012312,경기도 남양주시 와부읍,7.4358,0.0349,0.7395,2.156,0,3720,3710.1333,3.9633,2.389,2.642,0.135,0.099
생활정수,2016010118,와부정수장,4136012312,경기도 남양주시 와부읍,7.4298,0.035,0.7477,2.186,0,3590,3584.4167,4.176,2.284,2.5455,0.135,0.0985
생활정수,2016010119,와부정수장,4136012312,경기도 남양주시 와부읍,7.4275,0.0351,0.7597,2.158,0,3440,3441.5667,4.321,2.2475,2.5145,0.135,0.098
생활정수,2016010120,와부정수장,4136012312,경기도 남양주시 와부읍,7.4271,0.0352,0.7486,2.248,0,3010,3009,5.4713,2.3375,2.6125,0.135,0.097
생활정수,2016010121,와부정수장,4136012312,경기도 남양주시 와부읍,7.4269,0.0351,0.7563,2.39,0,3330,3303.8167,4.901,2.3255,2.6015,0.1355,0.097
생활정수,2016010122,와부정수장,4136012312,경기도 남양주시 와부읍,7.4256,0.0351,0.7693,2.345,0,3280,3288.9833,5.5003,2.203,2.504,0.1355,0.096
생활정수,2016010123,와부정수장,4136012312,경기도 남양주시 와부읍,7.4247,0.0354,0.7737,2.474,0,2840,2844.1,5.423,2.184,2.5095,0.1355,0.096
생활정수,2016010124,와부정수장,4136012312,경기도 남양주시 와부읍,7.4261,0.0351,0.7625,2.443,0,2710,2690.7,5.916,2.0485,2.4065,0.134,0.0955
생활정수,2016010201,와부정수장,4136012312,경기도 남양주시 와부읍,7.427,0.0352,0.7472,2.449,0,2550,2549.2167,5.655,1.996,2.3695,0.1335,0.0955
생활정수,2016010202,와부정수장,4136012312,경기도 남양주시 와부읍,7.4275,0.035,0.7432,2.357,0,2540,2560.5333,5.2297,1.902,2.2975,0.1325,0.095
생활정수,2016010203,와부정수장,4136012312,경기도 남양주시 와부읍,7.4288,0.0349,0.7345,2.283,0,2720,2720.4167,5.278,1.824,2.2285,0.132,0.095
생활정수,2016010204,와부정수장,4136012312,경기도 남양주시 와부읍,7.4292,0.0348,0.7411,2.303,0,2700,2709.3333,5.8677,1.843,2.2465,0.1315,0.0945
생활정수,2016010205,와부정수장,4136012312,경기도 남양주시 와부읍,7.432,0.0348,0.7456,2.277,0,2400,2388.6,6.119,2.0065,2.3925,0.1315,0.094
생활정수,2016010206,와부정수장,4136012312,경기도 남양주시 와부읍,7.4325,0.0348,0.7498,2.278,0,2440,2428.7,5.3457,2.0895,2.446,0.131,0.0955
생활정수,2016010207,와부정수장,4136012312,경기도 남양주시 와부읍,7.432,0.0348,0.7628,2.292,0,2570,2578.1833,6.177,2.384,2.706,0.1315,0.095
생활정수,2016010208,와부정수장,4136012312,경기도 남양주시 와부읍,7.4332,0.0351,0.7594,2.132,0,3070,3072.2833,5.9837,2.454,2.7535,0.1315,0.096
생활정수,2016010209,와부정수장,4136012312,경기도 남양주시 와부읍,7.4334,0.0354,0.7539,2.301,0,2960,2966.2333,6.1383,2.534,2.805,0.132,0.0955
생활정수,2016010210,와부정수장,4136012312,경기도 남양주시 와부읍,7.4328,0.0357,0.7689,2.252,0,2440,2436.8167,6.1093,2.777,3.0305,0.1325,0.0945
생활정수,2016010211,와부정수장,4136012312,경기도 남양주시 와부읍,7.4344,0.0358,0.7511,2.281,0,2600,2606.9167,4.7947,2.903,3.138,0.132,0.0935
생활정수,2016010212,와부정수장,4136012312,경기도 남양주시 와부읍,7.4319,0.0355,0.736,2.254,0,3330,3318.4,3.4317,2.9775,3.1755,0.1315,0.093
생활정수,2016010213,와부정수장,4136012312,경기도 남양주시 와부읍,7.4303,0.0354,0.7251,2.38,0,3430,3439.8333,3.1803,2.868,3.0625,0.1295,0.091
